Brewery_Beer,Type_Names,Type_Counts,Style,Location,Country,Date
Green Flash Hop Head Red Ale,,,American-Style Amber/Red Ale,United States - California,United States ,10/13/08
Bear Republic (Factory Five) Peter Brown Tribute Ale,,,American-Style Brown Ale,United States - California,United States ,10/12/08
Deschutes 20th Anniversary Wit,,,Belgian Style White (or Wit) / Belgian-Style Wheat,United States - Oregon,United States ,10/12/08
Weltenburger Barock Hell,,,Münchner-Style Helles,Germany - Bayern,Germany ,10/12/08
Stone 12th Anniversary Bitter Chocolate Oatmeal Stout,,,Chocolate/Cocoa Flavored Beer,United States - California,United States ,10/11/08
Butte Creek Train Wreck Organic Barleywine,,,Barley Wine-Style Ale,United States - California,United States ,10/11/08
De Hemel Nijmegen,,,Belgian-Style Dark Strong Ale,Netherlands,Netherlands,10/11/08
Green Flash Trippel,,,Belgian-Style Tripel,United States - California,United States ,10/11/08
Avery Hog Heaven,,,Imperial or Double Red Ale,United States - Colorado,United States ,10/10/08
Baron Rumpelstiltskin Rauch Doppelbock,,,Smoke-Flavored Beer,United States - Washington,United States ,10/10/08
Avery Fifteen,,,Experimental Beer,United States - Colorado,United States ,10/10/08
Avery The Reverend Belgian-Style Quadrupel Ale,,,Other Belgian-Style Ale,United States - Colorado,United States ,10/10/08
Avery Salvation,,,Belgian-Style Pale Strong Ale,United States - Colorado,United States ,10/10/08
Innstadt Neues Helles,,,Münchner-Style Helles,Germany - Bayern,Germany ,10/10/08
Midnight Sun La Mâitresse du Moine,,,Belgian-Style Dark Strong Ale,United States - Alaska,United States ,10/9/08
Eugene City Track Town 200 Meter Ale,,,American-Style IPA,United States - Oregon,United States ,10/9/08
Eugene City Track Town Triple Jump,,,American-Style Pale Ale,United States - Oregon,United States ,10/9/08
Gordon Biersch (San Jose) Schwarzbier,,,German-Style Schwarzbier,United States - California,United States ,10/7/08
Gordon Biersch (San Jose) Oktoberfest,,,German-Style Märzen/Oktoberfest,United States - California,United States ,10/7/08
Boulder Creek Black Dragon Stout,,,American-Style Stout,United States - California,United States ,10/6/08
Boulder Creek Abbey Road,,,Belgian-Style Dark Strong Ale,United States - California,United States ,10/6/08
Boulder Creek Redwood Ale,,,American-Style Amber/Red Ale,United States - California,United States ,10/6/08
Boulder Creek Summer Wheat,,,Light American Wheat Beer with Yeast,United States - California,United States ,10/6/08
Santa Cruz Mountain Devout Stout,,,Sweet Stout or Cream Stout,United States - California,United States ,10/6/08
